n,k,psi,p,blb,algorithm,time_exceeded,band_le_k,time_ms
12,6,6,0.34921707205103164,3,Varona HBR,false,true,0.0048332857142857144
12,6,6,0.34921707205103164,3,Saxe–Gurari–Sudborough,false,true,23200.479666
12,6,4,0.46559170275918005,3,Varona HBR,false,true,0.051542
12,6,4,0.46559170275918005,3,Saxe–Gurari–Sudborough,false,true,9262.648834
12,6,5,0.4919179777697651,4,Varona HBR,false,true,0.009417
12,6,5,0.4919179777697651,4,Saxe–Gurari–Sudborough,false,true,6420.399708
12,6,5,0.3197372253508341,3,Varona HBR,false,true,0.004946428571428571
12,6,5,0.3197372253508341,3,Saxe–Gurari–Sudborough,false,true,14255.011916
12,6,5,0.3202764256957348,2,Varona HBR,false,true,0.010792
12,6,5,0.3202764256957348,2,Saxe–Gurari–Sudborough,false,true,15673.237625
12,8,8,0.48325592540666806,5,Varona HBR,false,true,0.005125
12,8,8,0.48325592540666806,5,Saxe–Gurari–Sudborough,true,,
12,8,7,0.45093947264068834,3,Varona HBR,false,true,0.005055666666666667
12,8,7,0.45093947264068834,3,Saxe–Gurari–Sudborough,true,,
12,8,6,0.46396736074854295,3,Varona HBR,false,true,0.005
12,8,6,0.46396736074854295,3,Saxe–Gurari–Sudborough,true,,
12,8,8,0.3432326651432706,3,Varona HBR,false,true,0.004965333333333333
12,8,8,0.3432326651432706,3,Saxe–Gurari–Sudborough,true,,
12,8,6,0.313668158796729,3,Varona HBR,false,true,0.004979166666666667
12,8,6,0.313668158796729,3,Saxe–Gurari–Sudborough,true,,
12,10,9,0.5226061758883629,6,Varona HBR,false,true,0.004857142857142857
12,10,9,0.5226061758883629,6,Saxe–Gurari–Sudborough,true,,
12,10,10,0.4972488825000194,5,Varona HBR,false,true,0.0048332857142857144
12,10,10,0.4972488825000194,5,Saxe–Gurari–Sudborough,true,,
12,10,8,0.39672368840020045,4,Varona HBR,false,true,0.00475
12,10,8,0.39672368840020045,4,Saxe–Gurari–Sudborough,true,,
12,10,10,0.5927531388971711,5,Varona HBR,false,true,0.004922571428571428
